ticket_id,complaint_text,department,priority,status,word_count,char_count
GR-1001,Frequent voltage fluctuations are damaging home appliances in sector 12.,Electricity,high,Pending,10,72
GR-1002,Unauthorized transaction of 25000 rupees from my savings account.,Banking,critical,Pending,9,65
GR-1003,Broken kerb stones on footpath causing ankle injuries.,Road,medium,Escalated,8,54
GR-1004,Road sweeping vehicle not coming to our street for past month.,Road,low,Pending,11,62
GR-1005,"Cheque deposited 10 days ago still not cleared, urgent funds needed.",Banking,high,Escalated,11,68
GR-1006,Neutral wire fault causing half voltage in entire building.,Electricity,high,Escalated,9,59
GR-1007,Student grievance redressal cell not functional.,College,high,Pending,6,48
GR-1008,Bank sending account statements to old address despite address change.,Banking,low,Pending,10,70
GR-1009,Account joint holder removed without both holders signing.,Banking,critical,Resolved,8,58
GR-1010,Speed bumps installed without proper markings causing accidents.,Road,high,Pending,8,64
GR-1011,Request for recycled water connection for garden irrigation.,Water,low,Escalated,8,60
GR-1012,Power line touching tree branches causing sparks during windy weather.,Electricity,critical,In Progress,10,70
GR-1013,Complaint about electricity theft in neighborhood causing low voltage.,Electricity,medium,Escalated,9,70
GR-1014,Hostel warden demanding personal favours from students.,College,critical,Pending,7,55
GR-1015,"Internet disconnected immediately after bill payment, very frustrating.",Internet,high,Resolved,8,71
GR-1016,ISP changed plan pricing without 30-day advance notice as promised.,Internet,medium,In Progress,10,67
GR-1017,Bank staff behaved rudely and refused to help with basic enquiry.,Banking,medium,Pending,11,65
GR-1018,Electricity connection was disconnected without any prior notice.,Electricity,high,Pending,8,65
GR-1019,Traffic signal at the main junction not working for 3 days.,Road,high,Escalated,11,59
GR-1020,ISP promised 100 Mbps but consistently delivering less than 5 Mbps.,Internet,high,Resolved,11,67
GR-1021,"Water supply cuts off daily at noon exactly, disrupting cooking.",Water,medium,Pending,10,64
GR-1022,"Scholarship disbursement pending for 4 months, risk of dropping out.",College,critical,Pending,10,68
GR-1023,Temporary diversion signs removed but permanent road not ready.,Road,high,In Progress,9,63
GR-1024,Internet goes down every time it rains due to outdoor splice box issue.,Internet,high,Resolved,13,71
GR-1025,Drain pipe near the mosque overflowing causing public health hazard.,Water,critical,Resolved,10,68
GR-1026,"Upload speed much lower than advertised, video conferencing affected.",Internet,high,Escalated,9,69
GR-1027,Transformer in our colony burned out and hasn't been replaced in 5 days.,Electricity,high,In Progress,13,72
GR-1028,Recurring deposit cancelled prematurely without consent.,Banking,high,In Progress,6,56
GR-1029,"Electricity board office closed without notice, unable to pay bill.",Electricity,low,Escalated,10,67
GR-1030,ATM swallowed my card and the machine did not dispense cash.,Banking,high,Pending,11,60
GR-1031,Disability accommodations not provided despite submission of certificate.,College,critical,In Progress,8,73
GR-1032,Customer service keeps closing tickets without actually solving issue.,Internet,high,In Progress,9,70
GR-1033,Water supplied for only 15 minutes a day against promised 2 hours.,Water,high,Escalated,12,66
GR-1034,Nominee name removed from account without my consent.,Banking,critical,Escalated,8,53
GR-1035,"Fees paid online not reflecting in college records, threatening detention.",College,high,Escalated,10,74
GR-1036,Unauthorized parking structures built on government road land.,Road,medium,Escalated,8,62
GR-1037,"Road resurfacing done only partially, the remaining half is still dangerous.",Road,medium,In Progress,11,76
GR-1038,No internet service available in our newly developed residential area.,Internet,high,Pending,10,70
